Date,Sales_all,Bottle_Profit ,Bottles_Sold,Volume_Sold 
"September 10, 2014",1830798,61647,132662,126070
"September 11, 2014",1065662,37657,86377,73339
"September 15, 2014",1534237,47505,105968,98379
"September 16, 2014",1093168,42865,79107,77688
"September 17, 2014",1541910,60750,113637,102515
"September 18, 2014",997865,34671,82268,68029
"September 22, 2014",1351371,48917,104100,93846
"September 23, 2014",1104710,45811,84795,81273
"September 24, 2014",1313683,52952,100470,90328
"September 25, 2014",964357,35945,79245,67414
"September 29, 2014",1769599,53741,123320,114398
"September 30, 2014",1361752,45662,96601,96377
"October 1, 2014",1879639,62730,139686,136964
"October 2, 2014",1303372,39934,98516,89310
"October 3, 2014",307,26,24,6
"October 6, 2014",1735352,52116,127830,125993
"October 7, 2014",1517886,45810,112367,121415
"October 8, 2014",1666150,64518,129055,114974
"October 9, 2014",1161702,36434,86360,75709
"October 10, 2014",14417,401,2288,873
"October 13, 2014",2000920,52246,132278,130158
"October 14, 2014",1282293,44762,95329,94519
"October 15, 2014",1868323,62597,132632,129794
"October 16, 2014",1052932,35722,81746,71491
"October 20, 2014",1426464,51255,106108,96626
"October 21, 2014",1171366,45584,87609,85924
