Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5412,"10,735",964,,"8,260",,121,,"4,301",,"1,267",,"8,618"
5413,"34,046",393,"1,271","9,530",,109,27,"12,843",898,"1,427",,"8,335"
5415,"48,998","180,593","1,973","23,417",,"27,629",,"9,158","1,529","42,678",135,"66,061"
5416,"85,679","56,685","2,334","72,919",505,"21,759",393,"30,971","5,049","18,916",192,"62,334"
5417,"30,895","9,217",,"8,696",,480,,"10,430",52,"4,380",,"22,682"
5418,"7,626",179,,"7,311",,58,,"6,468",,908,,"14,410"
5419,"3,667",47,83,"1,236",,153,,"1,997",,421,,615
5420,"9,315",602,79,"3,993",,,,"2,105",,396,,"11,258"
5421,"17,629",126,,"12,435",,,,"1,643",,234,,"11,145"
5422,"21,999",,236,"12,047",,119,69,"9,012",466,"2,012",45,"8,028"
5423,"172,518","19,242","4,984","67,030","2,173","9,745","5,749","66,348","11,533","16,908",190,"71,657"
5424,"4,637","3,035",,"2,566",,,,708,,,,"2,988"
5425,"119,778","10,891","3,802","57,079",90,"5,640","4,139","36,288","12,624","21,960",297,"88,581"
5426,"46,663","2,724",175,"39,490",,331,,"15,186",48,"6,416",45,"45,711"
5427,"224,077","67,631","4,953","128,164","1,067","23,460","2,390","120,111","5,522","47,288",270,"232,968"
5428,"12,029",656,172,"4,232",,301,,"6,117",,509,,"13,897"
5429,"9,995",338,250,"5,558",,329,367,"2,408",561,"2,876",,"7,986"
5430,"13,912","23,890",958,"12,577",,689,41,"4,362",398,"2,515",108,"11,121"
5431,"153,569","12,165","2,817","47,937",44,"5,133","1,005","41,962","5,145","8,062",211,"70,538"
5432,"44,926",693,"3,918","11,623",,"2,252","3,441","11,998","2,873","4,626",,"36,583"
5434,"45,338","18,812",,"18,883",,"1,268",,"4,072","1,538","2,403",,"31,653"
5435,"50,236",759,"1,110","24,764",,"2,638","1,386","23,527",178,"4,784",9,"23,997"
5436,"19,995","7,027",19,"16,577",,"1,433",,"7,706","1,744","5,929",90,"23,485"
5437,"134,074","16,687","6,413","76,669",,"4,083","2,009","56,309","3,134","14,510",,"68,251"
5438,326,,,,,,205,,,,,487
5439,"12,079","2,132",176,"10,531",,63,35,"3,542",72,"1,599",,"10,524"
5440,"21,319",,248,"12,851",,,242,"5,562",251,212,,"6,250"
5441,"88,847","7,121","2,207","59,932",,"5,395",795,"36,885","7,762","15,582",,"40,759"
5443,"166,837","92,539","3,755","106,594",,"7,746","1,809","32,078","24,497","48,688",369,"146,321"
5444,"90,495","83,615","3,544","82,086",,"8,962","1,684","33,579","12,741","31,744",738,"69,089"
5445,"4,410","1,087",,"2,156",,"1,022",,"3,276",,306,,"6,554"
5446,"49,955","1,791",560,"17,089",,436,162,"31,402",757,"10,574",,"32,622"
5447,"29,421","7,818",541,"16,186",,498,120,"9,997","2,803","2,678",270,"20,134"
5448,"88,966","2,327","2,483","28,376",424,"4,947",486,"33,056","4,147","9,341",,"67,385"
5449,"17,788","12,322",,"12,461",,771,,"1,691",493,"2,786",,"31,035"
5450,"5,483",241,,"1,611",,58,,"4,393",,412,,"5,581"
5451,282,,,234,,,,104,,198,,291
5452,"6,730",274,,"3,692",,184,,"3,751",,280,,"3,703"
5453,"10,720",100,129,"4,097",,207,,"3,271",,587,,"5,234"
5454,527,,,776,,,,512,,,,670
5455,"40,542","5,406","1,376","50,927",,"1,514",149,"16,916",,"3,511",855,"24,608"
5456,"28,196","2,243",207,"20,559",,"1,224",178,"11,135",,943,63,"19,423"
5457,402,,,559,,,,,,,,60
5458,"29,056","2,494","1,186","3,143",,,14,"13,984","4,671",233,,"5,490"
5459,"6,865",351,425,"3,609",,,196,"1,484",22,903,90,"1,702"
5460,"28,553","81,110",593,"19,281",,"9,537",,"9,113",,"8,491",,"49,366"
5462,"34,290","73,647",762,"35,144",,"5,641",251,"12,369","5,312","18,706",90,"67,511"
5463,"53,390","2,512",,"9,935","7,852","10,731",924,"8,958","6,893","7,948",868,"8,876"
5465,"44,949","3,409",839,"13,661",,993,,"18,301",82,"3,247",9,"34,684"
5466,"69,333","62,041",816,"49,950",,"7,944",345,"18,988","1,796","15,778",81,"88,004"
5467,"15,879",643,105,"6,856",,,,"11,605",,"1,123",,"9,715"
5468,"8,006",736,,"4,059",,65,35,"2,232",,363,,"3,802"
5469,"26,980",775,"2,183","19,058",,262,"2,027","12,647","1,265","2,719",,"9,334"
5470,"26,063","18,838",403,"36,118",629,652,176,"8,934",450,"9,398",72,"24,829"
5471,"162,280","12,285","3,754","79,509",761,"8,249","3,316","46,403","20,091","17,201","1,624","104,074"
5472,"48,930","17,082","3,374","24,559",,"1,404",755,"19,882",516,"10,511",,"43,028"
5473,"23,626","4,646",,"18,640",,236,,"3,063",235,"3,651",,"27,694"
5474,"12,664","93,572",131,"6,359",,"8,139",122,"2,726",300,"5,673",,"28,551"
5475,"3,802","2,357",75,"2,507",,98,27,"1,773",307,"1,760",,"7,133"
5476,"121,422","10,226","9,286","60,344",630,"8,295","1,693","43,294","18,122","12,725",404,"97,858"
5477,"11,695",542,,"4,452",,184,,"3,729",,862,,"7,976"
5478,"10,410",179,57,"7,098",,58,,"6,532",177,861,,"7,056"
5479,"8,791",155,,"4,116",,,,"6,604",,724,,"14,168"
5480,"15,318","1,327",,"6,748",,306,,"6,931",261,"4,322",,"12,544"
5481,"32,927","101,298","1,390","20,317",,"4,909",692,"5,230","6,297","19,307",144,"88,331"
5482,"56,936","126,401","1,057","33,650",,"5,233",691,"10,685","2,848","27,174",252,"98,658"
5483,"8,896",25,177,"8,082",,112,,"3,517",7,495,,"3,391"
5484,"9,969",141,142,"3,158",,462,,"5,244",,578,,"14,398"
5485,"25,861","1,115","2,963","5,674",,"3,261",323,"11,184",91,"1,676",,"16,905"
5487,"15,752","36,881",454,"8,887",,"6,023",14,"5,170",702,"8,071",,"15,993"
5488,"8,431",80,,"5,711",,117,,"4,441",149,299,,"7,982"
5489,"14,781","1,020",,"2,073",,,,"3,186",,58,,"10,606"
5490,"61,818","4,584","1,435","15,382",,"1,398",135,"16,698",,"2,825",,"28,332"
5491,"31,603",364,278,"9,288",,"1,342",405,"13,824",997,"1,647",,"18,159"
5492,"19,256","1,245","1,075","6,358",,726,317,"6,179",,"1,321",,"11,792"
5493,"95,187","6,224","2,196","50,756",,"5,106","1,109","26,983",470,"8,761",,"42,787"
5494,"7,246",39,286,"8,489",,326,104,"2,193",149,"2,151",90,"6,191"
5495,"5,604",74,,"10,728",,151,,"2,245",229,679,,"2,801"
5496,"23,432","75,753",315,"24,725",,"4,457",,"8,871","1,074","13,148",306,"52,002"
5497,"9,929",456,123,"4,007",,378,,"3,361",,549,,"6,441"
5498,"15,354","1,088",21,"2,927",,595,"1,283","2,570",,,,"2,903"
5499,"22,876","1,319",787,"20,014",,486,,"10,825",163,"2,258",,"28,332"
5501,"37,298","15,240",,"27,389",,930,,"14,312",,"4,450",,"29,734"
5502,"14,046",748,85,"5,728",,834,,"6,047",,"1,193",,"12,286"
5503,"16,576",275,516,"7,732",,48,54,"6,112",271,"1,081",,"9,789"
